soft_name,missing,TP,FN,FP,TN,optimal_th,Accuracy,precision,NPV,Sensitivity,Specificity,F1,MCC
Trap+pangolin+squirls,0,17.000000,7.000000,70.000000,167.000000,1.0000,0.7050,0.1954,0.9598,0.7083,0.7046,0.3063,0.2531
Trap+pangolin+spliceogen,0,16.000000,8.000000,61.000000,176.000000,1.0000,0.7356,0.2078,0.9565,0.6667,0.7426,0.3168,0.2593
Trap+squirls+spliceogen,0,17.000000,7.000000,85.000000,152.000000,1.0000,0.6475,0.1667,0.9560,0.7083,0.6414,0.2698,0.2071
SPIDEX_dpsi+SPIDEX_zscore+pangolin,0,23.000000,1.000000,199.000000,38.000000,1.0000,0.2337,0.1036,0.9744,0.9583,0.1603,0.1870,0.0962
SPIDEX_dpsi+SPIDEX_zscore+squirls,0,24.000000,0.000000,207.000000,30.000000,1.0000,0.2069,0.1039,1.0000,1.0000,0.1266,0.1882,0.1147
SPIDEX_dpsi+SPIDEX_zscore+spliceogen,0,23.000000,1.000000,209.000000,28.000000,1.0000,0.1954,0.0991,0.9655,0.9583,0.1181,0.1797,0.0703
SPIDEX_dpsi+pangolin+squirls,0,24.000000,0.000000,208.000000,29.000000,1.0000,0.2031,0.1034,1.0000,1.0000,0.1224,0.1875,0.1125
SPIDEX_dpsi+pangolin+spliceogen,0,23.000000,1.000000,210.000000,27.000000,1.0000,0.1916,0.0987,0.9643,0.9583,0.1139,0.1790,0.0675
SPIDEX_dpsi+squirls+spliceogen,0,24.000000,0.000000,213.000000,24.000000,1.0000,0.1839,0.1013,1.0000,1.0000,0.1013,0.1839,0.1013
SPIDEX_zscore+pangolin+squirls,0,24.000000,0.000000,208.000000,29.000000,1.0000,0.2031,0.1034,1.0000,1.0000,0.1224,0.1875,0.1125
SPIDEX_zscore+pangolin+spliceogen,0,23.000000,1.000000,210.000000,27.000000,1.0000,0.1916,0.0987,0.9643,0.9583,0.1139,0.1790,0.0675
